
##### mobsup alpha=0.05  (mean over 5 seeds x ctype{rand,top} x contaminated scenarios hom.05/.10/.20/het)
-- k=5  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LAB-LOCAL     0.608 0.283 | 0.087 0.244 0.072 | 0.38 | 0.76 0.37
   LAB-POOL      0.692 0.525 | 0.084 0.158 0.052 | 0.59 | 0.98 0.95
   LAB-EB        0.695 0.527 | 0.085 0.161 0.052 | 0.59 | 0.98 0.96
   PEER+LAB      0.511 0.284 | 0.026 0.079 0.037 | 0.46 | 0.52 0.37
   LAB-EB-ALLOC  0.705 0.538 | 0.095 0.178 0.060 | 0.56 | 1.01 0.98
   LAB-EB-V      0.711 0.546 | 0.100 0.180 0.062 | 0.53 | 1.02 1.00
   LAB-EB-TAU    0.674 0.501 | 0.069 0.138 0.042 | 0.66 | 0.93 0.89
   LAB-EB-VTAU   0.692 0.521 | 0.083 0.157 0.050 | 0.61 | 0.98 0.94
   ORACLE-TRUE   0.702 0.545 | 0.058 0.107 0.024 | 0.92 | 1.00 1.00
-- k=20  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.305 0.126 | 0.008 0.031 0.044 | 0.15 | 0.00 0.00
   GLOBAL        0.182 0.090 | 0.002 0.009 0.048 | 0.03 | -0.31 -0.09
   CLEAN-K       0.650 0.344 | 0.057 0.143 0.037 | 0.70 | 0.87 0.52
   PEER-TRIM     0.385 0.196 | 0.014 0.053 0.042 | 0.25 | 0.20 0.17
   LAB-LOCAL     0.656 0.400 | 0.080 0.192 0.056 | 0.51 | 0.88 0.65
   LAB-POOL      0.703 0.537 | 0.085 0.160 0.050 | 0.63 | 1.00 0.98
   LAB-EB        0.709 0.549 | 0.085 0.155 0.048 | 0.65 | 1.02 1.01
   PEER+LAB      0.582 0.375 | 0.037 0.097 0.035 | 0.59 | 0.70 0.59
   LAB-EB-ALLOC  0.719 0.565 | 0.093 0.167 0.053 | 0.62 | 1.04 1.04
   LAB-EB-V      0.735 0.581 | 0.115 0.193 0.071 | 0.48 | 1.08 1.08
   LAB-EB-TAU    0.692 0.526 | 0.069 0.133 0.037 | 0.74 | 0.97 0.95
   LAB-EB-VTAU   0.723 0.565 | 0.099 0.172 0.057 | 0.57 | 1.05 1.04
   ORACLE-TRUE   0.702 0.547 | 0.059 0.108 0.024 | 0.92 | 1.00 1.00
-- k=50  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.306 0.131 | 0.008 0.031 0.044 | 0.15 | 0.00 0.00
   GLOBAL        0.186 0.094 | 0.003 0.009 0.048 | 0.03 | -0.30 -0.09
   CLEAN-K       0.704 0.537 | 0.063 0.118 0.028 | 0.86 | 1.00 0.98
   PEER-TRIM     0.384 0.194 | 0.014 0.053 0.042 | 0.25 | 0.20 0.15
   LAB-LOCAL     0.717 0.563 | 0.083 0.159 0.044 | 0.72 | 1.04 1.04
   LAB-POOL      0.708 0.546 | 0.085 0.161 0.047 | 0.65 | 1.01 1.00
   LAB-EB        0.722 0.575 | 0.085 0.151 0.043 | 0.71 | 1.05 1.07
   PEER+LAB      0.668 0.510 | 0.054 0.110 0.031 | 0.76 | 0.91 0.91
   LAB-EB-ALLOC  0.725 0.580 | 0.089 0.156 0.046 | 0.69 | 1.06 1.08
   LAB-EB-V      0.757 0.607 | 0.165 0.281 0.117 | 0.28 | 1.14 1.15
   LAB-EB-TAU    0.709 0.564 | 0.069 0.128 0.031 | 0.83 | 1.02 1.04
   LAB-EB-VTAU   0.752 0.603 | 0.149 0.253 0.101 | 0.34 | 1.12 1.14
   ORACLE-TRUE   0.702 0.547 | 0.059 0.108 0.024 | 0.92 | 1.00 1.00
-- clean (eps=0) k=10: harm vs LOCAL: dTPR dwFPR dfdev
   GLOBAL        -0.045 +0.048 +0.017
   CLEAN-K       -0.001 +0.139 +0.041
   PEER-TRIM     +0.022 +0.081 +0.016
   LAB-POOL      +0.000 +0.000 +0.000
   LAB-EB        +0.000 +0.000 +0.000
   PEER+LAB      +0.018 +0.046 +0.009
